ds,y,yhat,model_type
2020-09-21,-0.05648667314743308,0.014937486322427057,arima
2020-09-22,-0.10299542815106316,-0.056486673147433095,arima
2020-09-23,-0.22175885610676146,-0.10299542815106316,arima
2020-09-24,-0.3031491773631129,-0.2217588561067615,arima
2020-09-25,-0.29318301557662163,-0.3031491773631129,arima
2020-09-28,-0.15780931797676953,-0.29318301557662163,arima
2020-09-29,-0.235047071822084,-0.15780931797676953,arima
2020-09-30,-0.17275856065650827,-0.235047071822084,arima
2020-10-01,-0.20182653253377647,-0.1727585606565083,arima
2020-10-02,-0.3081322582563592,-0.20182653253377647,arima
2020-10-05,-0.15947034494118573,-0.3081322582563592,arima
2020-10-06,-0.32391201441830486,-0.1594703449411857,arima
2020-10-07,-0.22175885610676146,-0.32391201441830486,arima
2020-10-08,-0.1926908842294921,-0.22175885610676144,arima
2020-10-09,-0.1669449662810551,-0.1926908842294921,arima
2020-10-12,-0.11047004949093253,-0.1669449662810551,arima
2020-10-13,-0.14286007529703196,-0.11047004949093253,arima
2020-10-14,-0.3122848256673985,-0.14286007529703196,arima
2020-10-15,-0.37125128290414305,-0.3122848256673985,arima
2020-10-16,-0.29484404254103663,-0.3712512829041431,arima
2020-10-19,-0.4360313345163419,-0.29484404254103663,arima
2020-10-20,-0.43852287496296505,-0.4360313345163419,arima
2020-10-21,-0.5664219512229466,-0.43852287496296505,arima
2020-10-22,-0.4426754423740032,-0.5664219512229466,arima
2020-10-23,-0.4509805771960795,-0.44267544237400325,arima
2020-10-26,-0.4800485490733489,-0.4509805771960795,arima
2020-10-27,-0.6004730039934622,-0.4800485490733489,arima
2020-10-28,-0.73335516114669,-0.6004730039934622,arima
2020-10-29,-0.7424908094509743,-0.73335516114669,arima
2020-10-30,-0.39201411995933494,-0.7424908094509743,arima
2020-11-02,-0.11960569779521693,-0.39201411995933494,arima
2020-11-03,-0.15199572360131636,-0.1196056977952169,arima
2020-11-04,0.38783803983367343,-0.15199572360131636,arima
2020-11-05,0.3047866916129058,0.3878380398336734,arima
2020-11-06,0.24665074785836819,0.30478669161290584,arima
2020-11-07,0.2483117748227832,0.24665074785836819,arima
2020-11-09,0.44182141617717285,0.2483117748227832,arima
2020-11-10,0.7291790810210285,0.44182141617717285,arima
2020-11-11,0.6785177586063602,0.7291790810210285,arima
2020-11-12,0.6444667058358458,0.6785177586063602,arima
