targets,predictions,model_type
-0.056486674,0.045656066,lstm2
-0.102995425,-0.0042687543,lstm2
-0.22175886,-0.028488006,lstm2
-0.30314916,-0.06338011,lstm2
-0.29318303,-0.14321688,lstm2
-0.15780932,-0.2190011,lstm2
-0.23504707,-0.27985376,lstm2
-0.17275856,-0.2744412,lstm2
-0.20182653,-0.2504373,lstm2
-0.30813226,-0.20809111,lstm2
-0.15947035,-0.23701699,lstm2
-0.32391202,-0.22939168,lstm2
-0.22175886,-0.259685,lstm2
-0.19269088,-0.28183377,lstm2
-0.16694497,-0.24791734,lstm2
-0.11047005,-0.27414092,lstm2
-0.14286007,-0.21644332,lstm2
-0.31228483,-0.18030502,lstm2
-0.37125129,-0.17499761,lstm2
-0.29484403,-0.21008597,lstm2
-0.43603134,-0.28041208,lstm2
-0.43852288,-0.3676373,lstm2
-0.5664219,-0.39872786,lstm2
-0.44267544,-0.42594913,lstm2
-0.45098057,-0.50136685,lstm2
-0.48004854,-0.5174841,lstm2
-0.600473,-0.53513163,lstm2
-0.73335516,-0.5045776,lstm2
-0.7424908,-0.55633104,lstm2
-0.39201412,-0.63612217,lstm2
-0.1196057,-0.6957247,lstm2
-0.15199572,-0.6509898,lstm2
0.38783804,-0.48541322,lstm2
0.30478668,-0.20369247,lstm2
0.24665074,0.011407856,lstm2
0.24831177,0.14974654,lstm2
0.44182143,0.33021972,lstm2
0.7291791,0.29677933,lstm2
0.67851776,0.34228435,lstm2
0.6444667,0.4595132,lstm2
0.7599081,0.60918516,lstm2
0.7773489,0.7065511,lstm2
0.84462047,0.7016382,lstm2
0.7790099,0.7316303,lstm2
0.7449588,0.78723234,lstm2
0.79977274,0.79753405,lstm2
0.88697666,0.8013692,lstm2
0.90857,0.784924,lstm2
1.0896219,0.8064337,lstm2
1.1735038,0.8693137,lstm2
1.2017412,0.945907,lstm2
1.2507416,1.0190932,lstm2
1.2432669,1.099037,lstm2
1.1768259,1.1540037,lstm2
1.2598772,1.1541864,lstm2
1.2424364,1.178692,lstm2
1.4508953,1.171919,lstm2
1.4508953,1.1816508,lstm2
1.3221657,1.237695,lstm2
1.4542173,1.274275,lstm2
1.5505569,1.3281841,lstm2
1.4998956,1.3237257,lstm2
1.434285,1.3259156,lstm2
1.4675056,1.3774279,lstm2
1.2499111,1.3873498,lstm2
1.1145374,1.3483356,lstm2
1.2499111,1.2933987,lstm2
1.1909446,1.2383932,lstm2
1.214199,1.1516688,lstm2
1.2092159,1.1326361,lstm2
1.1444358,1.1660424,lstm2
1.0771642,1.1470131,lstm2
1.1427748,1.1378543,lstm2
1.1261646,1.1126643,lstm2
1.1352918,1.0833007,lstm2
1.2349617,1.0751983,lstm2
1.28064,1.1014732,lstm2
1.4467344,1.1180197,lstm2
1.4384376,1.1647505,lstm2
1.2939283,1.2344221,lstm2
1.3794712,1.2784592,lstm2
1.3080469,1.3115946,lstm2
1.4010645,1.2832434,lstm2
1.4475732,1.2524253,lstm2
1.4484037,1.2797104,lstm2
1.6128454,1.2863678,lstm2
1.6610152,1.3361777,lstm2
1.864491,1.3775104,lstm2
1.8105077,1.4324974,lstm2
1.7083545,1.5158226,lstm2
1.8478807,1.5595193,lstm2
1.9151523,1.5987753,lstm2
1.7581853,1.5840187,lstm2
1.7689819,1.5847054,lstm2
1.7374225,1.617091,lstm2
1.7083545,1.6034819,lstm2
1.5704893,1.55613,lstm2
1.0522488,1.5412822,lstm2
1.1377918,1.4776021,lstm2
1.0480963,1.36654,lstm2
1.0937746,1.2068397,lstm2
1.149419,1.0446695,lstm2
1.4467428,1.0861875,lstm2
1.5297941,1.0733843,lstm2
1.5804554,1.157087,lstm2
1.5787944,1.2633985,lstm2
1.3886068,1.3819729,lstm2
1.2864536,1.4068931,lstm2
1.1726732,1.3876445,lstm2
1.1394527,1.3206042,lstm2
1.2249956,1.2158145,lstm2
1.2266567,1.1544698,lstm2
1.2225041,1.1226177,lstm2
1.3844543,1.133014,lstm2
1.403556,1.171363,lstm2
