Date,Open,High,Low,Close,Volume
02/08/2021,"$17.32","$18.09","$17.24","$17.77","43,862,200"
02/05/2021,"$17.60","$17.67","$17.07","$17.19","30,910,230"
02/04/2021,"$17.48","$17.59","$17.31","$17.40","37,606,820"
02/03/2021,"$16.61","$17.72","$16.49","$17.60","61,414,801"
02/02/2021,"$17.03","$17.26","$16.55","$16.59","39,287,770"
02/01/2021,"$17.25","$17.33","$16.33","$16.84","49,436,031"
01/29/2021,"$18.69","$18.73","$16.75","$17.17","113,054,797"
01/28/2021,"$20.33","$21.77","$16.82","$18.10","319,607,625"
01/27/2021,"$15.42","$17.81","$15.38","$16.56","178,528,984"
01/26/2021,"$15.52","$15.77","$15.33","$15.53","44,571,078"
01/25/2021,"$15.52","$15.56","$15.02","$15.43","61,954,500"
01/22/2021,"$15.57","$15.84","$15.46","$15.82","39,126,566"
01/21/2021,"$15.99","$16.22","$15.56","$15.83","50,726,594"
01/20/2021,"$16.17","$16.39","$15.84","$16.17","42,354,449"
01/19/2021,"$15.99","$16.27","$15.89","$15.97","39,740,238"
01/15/2021,"$16.17","$16.28","$15.74","$15.76","55,175,840"
01/14/2021,"$15.83","$16.60","$15.82","$16.44","79,900,867"
01/13/2021,"$15.29","$15.63","$15.11","$15.53","42,629,320"
01/12/2021,"$15.08","$15.43","$14.88","$15.38","45,742,441"
01/11/2021,"$14.82","$15.04","$14.71","$15.00","40,701,328"
01/08/2021,"$15.43","$15.53","$15.00","$15.13","55,656,359"
01/07/2021,"$15.67","$15.87","$15.38","$15.38","48,187,871"
01/06/2021,"$15.45","$15.80","$15.17","$15.52","63,707,969"
01/05/2021,"$14.92","$15.63","$14.87","$15.43","53,368,180"
01/04/2021,"$15.85","$15.88","$15.03","$15.13","69,732,469"
12/31/2020,"$16.08","$16.09","$15.63","$15.77","57,891,078"
12/30/2020,"$15.85","$16.20","$15.72","$16.15","49,520,152"
12/29/2020,"$16.32","$16.41","$15.75","$15.86","51,559,539"
12/28/2020,"$15.97","$16.46","$15.91","$16.06","61,099,039"
12/24/2020,"$16.04","$16.04","$15.53","$15.66","31,048,910"
12/23/2020,"$15.51","$16.17","$15.50","$15.89","62,603,762"
12/22/2020,"$16.34","$16.38","$15.45","$15.48","75,439,219"
12/21/2020,"$15.77","$16.24","$15.56","$16.10","87,243,766"
12/18/2020,"$16.74","$16.74","$16.29","$16.51","74,782,781"
12/17/2020,"$16.95","$16.99","$16.65","$16.80","49,386,340"
12/16/2020,"$16.88","$17.04","$16.58","$16.86","59,232,621"
12/15/2020,"$16.99","$17.06","$16.16","$17.01","89,217,039"
12/14/2020,"$17.52","$17.81","$16.68","$16.70","88,139,883"
12/11/2020,"$17.82","$17.91","$16.81","$17.05","106,957,297"
12/10/2020,"$16.75","$18.04","$16.67","$17.99","86,395,156"
