Date,Open,High,Low,Close,Volume
02/08/2016,"$23.28","$23.93","$23.26","$23.75","216,085,516"
02/05/2016,"$24.13","$24.23","$23.42","$23.51","185,672,236"
02/04/2016,"$23.97","$24.33","$23.80","$24.15","185,886,592"
02/03/2016,"$23.75","$24.21","$23.52","$24.09","183,857,156"
02/02/2016,"$23.86","$24.01","$23.57","$23.62","149,428,876"
02/01/2016,"$24.12","$24.18","$23.85","$24.11","163,774,156"
01/29/2016,"$23.70","$24.34","$23.59","$24.34","257,666,000"
01/28/2016,"$23.45","$23.63","$23.10","$23.52","222,715,328"
01/27/2016,"$24.01","$24.16","$23.34","$23.36","533,478,812"
01/26/2016,"$24.98","$25.22","$24.52","$25.00","300,308,000"
01/25/2016,"$25.38","$25.38","$24.80","$24.86","207,178,108"
01/22/2016,"$24.66","$25.37","$24.59","$25.36","263,201,876"
01/21/2016,"$24.27","$24.47","$23.74","$24.08","208,645,844"
01/20/2016,"$23.78","$24.55","$23.36","$24.20","289,337,656"
01/19/2016,"$24.60","$24.66","$23.88","$24.17","212,351,016"
01/15/2016,"$24.05","$24.43","$23.84","$24.28","319,335,564"
01/14/2016,"$24.49","$25.12","$23.94","$24.88","252,680,516"
01/13/2016,"$25.08","$25.30","$24.33","$24.35","249,758,532"
01/12/2016,"$25.14","$25.17","$24.71","$24.99","196,616,920"
01/11/2016,"$24.74","$24.77","$24.34","$24.63","198,957,516"
01/08/2016,"$24.64","$24.78","$24.19","$24.24","283,192,064"
01/07/2016,"$24.67","$25.03","$24.11","$24.11","324,377,720"
01/06/2016,"$25.14","$25.59","$24.97","$25.18","273,829,564"
01/05/2016,"$26.44","$26.46","$25.60","$25.68","223,163,968"
01/04/2016,"$25.65","$26.34","$25.50","$26.34","270,597,564"
12/31/2015,"$26.75","$26.76","$26.21","$26.32","163,649,280"
12/30/2015,"$27.15","$27.18","$26.80","$26.83","100,855,116"
12/29/2015,"$26.74","$27.36","$26.72","$27.19","123,724,960"
12/28/2015,"$26.90","$26.92","$26.55","$26.71","106,816,844"
12/24/2015,"$27.25","$27.25","$26.99","$27.01","54,386,720"
12/23/2015,"$26.82","$27.21","$26.80","$27.15","130,629,400"
12/22/2015,"$26.85","$26.93","$26.61","$26.81","131,157,484"
12/21/2015,"$26.82","$26.84","$26.39","$26.83","190,362,436"
12/18/2015,"$27.23","$27.38","$26.45","$26.51","385,813,312"
12/17/2015,"$28.01","$28.06","$27.25","$27.25","179,091,328"
12/16/2015,"$27.77","$28.00","$27.20","$27.84","224,953,892"
12/15/2015,"$27.99","$28.20","$27.59","$27.62","213,292,452"
12/14/2015,"$28.05","$28.17","$27.45","$28.12","260,014,436"
12/11/2015,"$28.80","$28.85","$28.21","$28.30","187,544,640"
12/10/2015,"$29.01","$29.24","$28.88","$29.04","116,850,920"
12/09/2015,"$29.41","$29.42","$28.77","$28.91","185,445,436"
12/08/2015,"$29.38","$29.65","$29.22","$29.56","137,237,796"
12/07/2015,"$29.75","$29.97","$29.45","$29.57","128,337,000"
12/04/2015,"$28.82","$29.81","$28.78","$29.76","231,107,920"
12/03/2015,"$29.14","$29.20","$28.56","$28.80","166,278,048"
12/02/2015,"$29.26","$29.53","$29.02","$29.07","133,546,236"
12/01/2015,"$29.69","$29.70","$29.22","$29.34","139,409,468"
11/30/2015,"$29.50","$29.85","$29.44","$29.58","156,721,280"
11/27/2015,"$29.57","$29.60","$29.40","$29.45","52,185,800"
11/25/2015,"$29.80","$29.81","$29.48","$29.51","85,553,244"
11/24/2015,"$29.33","$29.84","$29.28","$29.72","171,212,672"
11/23/2015,"$29.82","$29.93","$29.34","$29.44","129,930,116"
11/20/2015,"$29.80","$29.98","$29.71","$29.83","137,148,408"
11/19/2015,"$29.41","$29.94","$29.19","$29.70","173,183,280"
11/18/2015,"$28.94","$29.37","$28.88","$29.32","186,698,796"
11/17/2015,"$28.73","$28.76","$28.33","$28.42","110,467,756"
11/16/2015,"$27.85","$28.56","$27.75","$28.54","152,426,796"
11/13/2015,"$28.80","$28.89","$28.07","$28.09","183,249,592"
