Date,Open,High,Low,Close,Volume
02/07/2020,"$88.25","$88.77","$86.48","$87.02","1,987,126"
02/06/2020,"$90.03","$90.58","$88.54","$88.64","2,018,246"
02/05/2020,"$87.68","$89.88","$87.36","$89.50","2,315,840"
02/04/2020,"$86.53","$87.24","$86.44","$86.69","1,795,827"
02/03/2020,"$85.39","$86.37","$84.91","$85.26","2,170,376"
01/31/2020,"$86.69","$86.96","$84.53","$84.69","2,841,993"
01/30/2020,"$87.05","$87.59","$85.91","$87.10","2,048,884"
01/29/2020,"$89.38","$90.10","$88.10","$88.12","2,623,456"
01/28/2020,"$88.40","$89.30","$87.82","$88.89","1,458,104"
01/27/2020,"$87.79","$88.83","$87.35","$87.80","1,718,329"
01/24/2020,"$90.27","$90.27","$88.77","$89.44","1,209,634"
01/23/2020,"$88.86","$90.31","$88.36","$89.82","1,619,995"
01/22/2020,"$90.93","$91.17","$88.96","$89.27","2,003,301"
01/21/2020,"$89.45","$91.70","$89.41","$90.24","3,611,203"
01/17/2020,"$89.45","$90.33","$88.35","$89.94","3,406,560"
01/16/2020,"$89.53","$89.81","$88.55","$88.95","2,007,216"
01/15/2020,"$87.60","$89.87","$87.29","$88.92","3,783,447"
01/14/2020,"$90.98","$91.83","$90.26","$90.47","1,994,311"
01/13/2020,"$90.64","$91.28","$90.36","$91.26","2,138,078"
01/10/2020,"$89.58","$90.74","$89.34","$90.65","2,452,157"
01/09/2020,"$89.43","$89.49","$88.43","$89.37","2,225,731"
01/08/2020,"$88.21","$89.37","$87.86","$88.65","2,047,041"
01/07/2020,"$87.79","$89.21","$87.46","$88.41","2,043,418"
01/06/2020,"$86.47","$87.92","$86.25","$87.91","2,270,193"
01/03/2020,"$86.07","$87.64","$85.91","$87.18","1,713,597"
01/02/2020,"$88.39","$88.44","$86.96","$87.31","2,447,454"
12/31/2019,"$87.25","$88.18","$86.95","$87.80","1,735,195"
12/30/2019,"$87.09","$87.96","$86.51","$87.57","1,520,606"
12/27/2019,"$88.00","$88.13","$86.95","$87.01","1,309,596"
12/26/2019,"$87.99","$88.20","$87.32","$87.85","1,343,388"
12/24/2019,"$88.01","$88.51","$87.43","$87.93","741,790"
12/23/2019,"$88.17","$88.32","$87.25","$87.64","1,822,349"
12/20/2019,"$89.21","$89.50","$87.55","$87.73","3,650,340"
12/19/2019,"$87.62","$88.84","$87.05","$88.64","3,245,276"
12/18/2019,"$86.68","$87.76","$86.51","$87.01","3,172,990"
12/17/2019,"$85.75","$86.48","$84.55","$86.36","1,967,022"
12/16/2019,"$85.08","$86.86","$85.01","$85.79","3,643,636"
12/13/2019,"$85.50","$85.61","$83.96","$84.79","2,645,429"
12/12/2019,"$83.91","$85.55","$83.50","$85.35","2,905,907"
12/11/2019,"$82.58","$84.06","$82.02","$83.83","2,319,819"
12/10/2019,"$82.55","$83.37","$82.29","$82.88","2,102,514"
12/09/2019,"$81.73","$83.65","$81.47","$82.57","2,833,747"
12/06/2019,"$81.23","$82.49","$81.22","$82.05","3,699,370"
12/05/2019,"$78.91","$80.37","$78.89","$80.32","3,007,526"
12/04/2019,"$78.65","$79.60","$78.30","$79.18","3,112,987"
12/03/2019,"$77.50","$78.18","$77.05","$78.11","4,227,614"
12/02/2019,"$81.00","$81.00","$78.36","$79.20","4,332,958"
11/29/2019,"$80.27","$81.44","$79.51","$80.64","2,962,469"
11/27/2019,"$82.29","$82.48","$80.11","$80.74","6,040,830"
