Date,Open,High,Low,Close,Volume
02/08/2016,"$26.55","$27.96","$26.50","$27.89","2,944,802"
02/05/2016,"$27.01","$27.18","$26.43","$26.83","1,545,769"
02/04/2016,"$26.06","$27.19","$25.38","$27.01","2,000,195"
02/03/2016,"$26.11","$26.28","$24.75","$26.17","2,223,449"
02/02/2016,"$26.63","$26.71","$25.59","$25.92","1,840,570"
02/01/2016,"$26.20","$26.86","$25.85","$26.81","2,787,257"
01/29/2016,"$25.76","$26.25","$25.61","$26.21","2,317,801"
01/28/2016,"$26.49","$26.61","$25.67","$25.71","1,399,500"
01/27/2016,"$26.24","$26.78","$25.82","$26.15","2,002,874"
01/26/2016,"$25.35","$26.48","$25.14","$26.06","2,769,019"
01/25/2016,"$25.60","$25.97","$24.91","$25.06","1,445,200"
01/22/2016,"$25.73","$26.03","$25.43","$25.67","1,763,577"
01/21/2016,"$25.19","$25.94","$25.15","$25.29","2,118,681"
01/20/2016,"$25.21","$25.45","$24.33","$25.19","2,236,287"
01/19/2016,"$25.96","$25.98","$25.05","$25.51","2,784,492"
01/15/2016,"$25.06","$25.94","$24.85","$25.64","3,187,677"
01/14/2016,"$27.42","$27.42","$25.18","$25.58","4,589,441"
01/13/2016,"$27.71","$27.82","$26.48","$26.94","2,921,550"
01/12/2016,"$28.95","$29.22","$26.31","$27.88","8,089,431"
01/11/2016,"$28.33","$29.55","$27.99","$29.38","3,256,727"
01/08/2016,"$28.70","$28.79","$28.04","$28.37","2,699,229"
01/07/2016,"$28.12","$28.77","$27.74","$28.45","2,662,827"
01/06/2016,"$28.23","$28.74","$27.44","$28.37","3,756,413"
01/05/2016,"$28.59","$29.01","$28.06","$28.77","3,416,646"
01/04/2016,"$27.04","$28.46","$27.01","$28.31","4,330,445"
12/31/2015,"$28.43","$28.86","$28.03","$28.04","1,696,030"
12/30/2015,"$28.37","$28.94","$28.24","$28.48","1,438,398"
12/29/2015,"$28.62","$28.80","$28.33","$28.43","2,041,056"
12/28/2015,"$28.37","$28.94","$28.14","$28.47","2,325,435"
12/24/2015,"$28.62","$28.80","$28.28","$28.37","868,965"
12/23/2015,"$28.80","$28.93","$28.26","$28.75","2,778,623"
12/22/2015,"$28.90","$28.90","$28.16","$28.60","3,066,638"
12/21/2015,"$28.53","$29.10","$28.05","$28.75","3,418,315"
12/18/2015,"$28.92","$28.94","$27.90","$28.76","5,602,525"
12/17/2015,"$30.56","$30.71","$29.05","$29.05","2,279,414"
12/16/2015,"$30.82","$31.00","$30.12","$30.56","2,185,141"
12/15/2015,"$30.74","$31.15","$30.40","$30.54","2,538,331"
12/14/2015,"$30.00","$30.66","$29.72","$30.27","2,939,538"
12/11/2015,"$30.22","$31.35","$29.94","$30.00","6,592,987"
12/10/2015,"$32.55","$32.90","$31.47","$32.01","4,081,449"
12/09/2015,"$33.11","$34.03","$32.40","$32.44","2,582,340"
12/08/2015,"$32.60","$33.89","$32.27","$33.74","2,802,815"
12/07/2015,"$33.20","$33.39","$32.50","$33.07","2,948,134"
12/04/2015,"$32.77","$33.35","$32.24","$33.30","3,528,291"
12/03/2015,"$33.85","$33.85","$32.19","$32.78","3,717,980"
12/02/2015,"$34.70","$34.84","$33.86","$33.87","2,867,737"
12/01/2015,"$35.05","$35.17","$34.25","$34.70","2,181,345"
11/30/2015,"$35.56","$35.83","$34.90","$35.03","3,223,097"
11/27/2015,"$36.88","$36.95","$35.80","$36.01","1,193,057"
11/25/2015,"$37.79","$38.03","$36.60","$36.64","2,058,101"
11/24/2015,"$35.99","$38.23","$35.93","$37.91","5,363,467"
11/23/2015,"$33.14","$37.69","$33.00","$37.61","16,933,789"
11/20/2015,"$39.10","$39.77","$38.57","$39.26","2,794,197"
11/19/2015,"$37.65","$38.96","$37.50","$38.46","2,054,697"
11/18/2015,"$37.57","$38.06","$37.23","$37.81","2,284,220"
11/17/2015,"$38.30","$38.30","$36.90","$37.16","2,598,812"
11/16/2015,"$37.00","$38.19","$36.95","$38.09","2,569,978"
11/13/2015,"$39.94","$40.10","$37.07","$37.18","9,515,246"
11/12/2015,"$44.46","$44.80","$43.87","$44.53","1,886,533"
11/11/2015,"$46.08","$46.30","$44.43","$44.58","1,886,654"
11/10/2015,"$45.44","$46.21","$45.25","$45.94","1,518,178"
11/09/2015,"$46.77","$46.82","$45.43","$45.50","1,523,278"
11/06/2015,"$46.75","$47.48","$46.35","$46.82","1,919,412"
11/05/2015,"$46.95","$47.16","$46.30","$46.94","987,900"
11/04/2015,"$46.73","$47.11","$46.62","$46.85","1,309,454"
11/03/2015,"$46.30","$46.80","$46.07","$46.75","1,428,330"
11/02/2015,"$46.03","$46.49","$45.57","$46.18","955,253"
10/30/2015,"$45.92","$46.55","$45.57","$46.07","1,220,203"
10/29/2015,"$45.64","$46.18","$45.37","$45.71","746,129"
10/28/2015,"$44.46","$45.69","$44.29","$45.55","908,040"
10/27/2015,"$44.72","$44.91","$43.55","$44.25","1,146,076"
10/26/2015,"$45.37","$45.53","$44.35","$44.67","1,464,066"
10/23/2015,"$47.62","$47.62","$45.09","$45.35","2,302,145"
10/22/2015,"$46.18","$47.27","$45.59","$46.98","1,565,510"
10/21/2015,"$45.28","$46.21","$45.13","$46.04","1,158,026"
10/20/2015,"$44.78","$45.62","$44.73","$45.10","1,536,233"
10/19/2015,"$44.46","$44.94","$44.01","$44.72","761,628"
10/16/2015,"$44.28","$44.49","$43.59","$44.46","898,604"
10/15/2015,"$43.26","$43.97","$42.85","$43.93","880,509"
10/14/2015,"$43.46","$43.72","$42.73","$43.05","757,149"
10/13/2015,"$43.71","$44.16","$43.40","$43.52","810,482"
10/12/2015,"$44.28","$44.64","$43.84","$43.94","747,861"
10/09/2015,"$43.72","$44.46","$43.46","$44.41","957,148"
10/08/2015,"$43.04","$44.34","$43.04","$43.98","1,134,094"
10/07/2015,"$43.43","$43.81","$42.62","$43.44","1,267,928"
10/06/2015,"$42.44","$43.48","$42.41","$43.34","1,879,544"
10/05/2015,"$41.60","$42.64","$41.53","$42.48","1,917,884"
10/02/2015,"$40.28","$41.55","$40.01","$41.50","1,491,634"
10/01/2015,"$41.30","$41.63","$39.81","$40.52","1,958,362"
09/30/2015,"$41.01","$41.32","$40.61","$41.21","1,716,624"
09/29/2015,"$40.20","$40.91","$39.66","$40.43","2,108,006"
09/28/2015,"$40.84","$41.07","$39.94","$40.30","1,713,207"
09/25/2015,"$41.31","$41.86","$40.45","$41.00","1,666,433"
09/24/2015,"$40.74","$41.49","$40.61","$41.20","1,364,188"
09/23/2015,"$41.22","$41.58","$40.65","$41.08","785,225"
09/22/2015,"$41.26","$41.76","$41.01","$41.35","1,000,739"
09/21/2015,"$42.72","$42.83","$41.44","$41.72","1,654,971"
09/18/2015,"$43.15","$43.58","$42.23","$42.27","2,062,576"
09/17/2015,"$43.99","$44.43","$42.87","$43.61","1,699,111"
09/16/2015,"$42.95","$44.15","$42.90","$43.98","1,539,822"
09/15/2015,"$43.26","$43.32","$42.76","$43.00","1,124,594"
09/14/2015,"$42.84","$43.20","$42.26","$43.17","1,409,731"
09/11/2015,"$42.23","$42.87","$41.68","$42.78","1,515,426"
09/10/2015,"$41.66","$42.89","$41.50","$42.35","1,433,329"
09/09/2015,"$42.03","$42.24","$41.65","$41.79","1,468,699"
09/08/2015,"$41.97","$41.97","$40.76","$41.79","2,177,039"
09/04/2015,"$41.20","$41.56","$40.71","$41.25","1,531,901"
09/03/2015,"$42.00","$42.78","$41.54","$41.71","2,093,157"
09/02/2015,"$41.68","$42.08","$41.12","$41.81","2,536,864"
09/01/2015,"$41.53","$42.15","$40.72","$41.18","2,338,576"
08/31/2015,"$42.27","$42.61","$41.55","$42.48","2,465,288"
08/28/2015,"$44.66","$44.94","$41.54","$42.49","8,430,758"
08/27/2015,"$46.21","$47.00","$45.44","$46.20","2,919,907"
08/26/2015,"$44.68","$45.53","$44.03","$45.36","3,783,647"
08/25/2015,"$44.08","$44.68","$43.27","$43.89","4,730,143"
08/24/2015,"$41.86","$44.15","$38.66","$42.96","2,318,285"
08/21/2015,"$44.77","$46.11","$44.64","$44.83","2,025,230"
08/20/2015,"$45.66","$46.00","$45.19","$45.23","1,507,980"
08/19/2015,"$46.83","$47.17","$45.74","$46.45","1,753,968"
08/18/2015,"$47.04","$47.71","$46.90","$46.99","1,619,116"
08/17/2015,"$47.44","$47.47","$46.46","$46.95","1,085,631"
08/14/2015,"$46.55","$47.83","$46.55","$47.44","2,436,923"
08/13/2015,"$45.65","$46.87","$45.59","$46.10","1,101,632"
08/12/2015,"$45.33","$45.89","$44.63","$45.62","1,279,043"
08/11/2015,"$45.43","$45.80","$45.00","$45.72","1,247,562"
08/10/2015,"$45.88","$46.04","$45.34","$45.81","1,216,193"
08/07/2015,"$45.34","$45.41","$44.65","$45.17","947,231"
08/06/2015,"$46.22","$46.32","$44.92","$45.35","1,111,956"
08/05/2015,"$45.68","$46.63","$45.64","$46.39","1,241,915"
08/04/2015,"$44.71","$45.65","$44.51","$45.57","1,804,142"
08/03/2015,"$45.98","$46.18","$44.84","$44.95","1,205,720"
07/31/2015,"$46.26","$46.47","$45.63","$45.85","1,095,765"
07/30/2015,"$45.75","$46.45","$45.43","$46.16","933,677"
07/29/2015,"$45.44","$45.89","$45.19","$45.87","1,001,248"
07/28/2015,"$45.50","$45.74","$44.73","$45.28","1,232,416"
07/27/2015,"$45.40","$45.82","$44.90","$45.32","1,573,826"
07/24/2015,"$47.00","$47.08","$45.33","$45.49","2,030,734"
07/23/2015,"$47.23","$47.62","$46.59","$46.94","962,317"
07/22/2015,"$46.77","$47.52","$46.40","$47.20","1,626,735"
07/21/2015,"$46.72","$46.96","$46.23","$46.94","1,276,545"
07/20/2015,"$46.50","$46.95","$46.15","$46.83","1,318,280"
07/17/2015,"$47.23","$47.55","$46.38","$46.67","1,329,290"
07/16/2015,"$46.48","$47.76","$46.18","$47.23","2,613,038"
07/15/2015,"$46.85","$47.00","$46.35","$46.42","1,345,801"
07/14/2015,"$47.22","$47.45","$46.25","$46.73","2,652,729"
07/13/2015,"$47.21","$47.66","$46.84","$47.35","1,651,758"
07/10/2015,"$47.29","$47.34","$46.40","$46.96","1,491,543"
07/09/2015,"$46.40","$47.09","$45.88","$46.90","2,715,570"
07/08/2015,"$45.77","$46.23","$45.49","$45.74","2,447,963"
07/07/2015,"$44.29","$46.05","$44.03","$46.03","2,410,180"
07/06/2015,"$43.12","$44.35","$42.97","$44.32","1,506,697"
07/02/2015,"$43.81","$44.50","$43.50","$43.56","1,204,627"
07/01/2015,"$43.25","$44.41","$43.16","$44.12","1,731,689"
06/30/2015,"$43.08","$43.20","$42.77","$42.96","1,117,673"
06/29/2015,"$43.73","$43.93","$42.76","$42.77","1,114,744"
06/26/2015,"$43.78","$44.14","$43.37","$44.04","1,900,911"
06/25/2015,"$44.58","$44.73","$43.65","$43.66","1,617,148"
06/24/2015,"$44.19","$45.50","$44.16","$44.55","2,422,663"
06/23/2015,"$44.03","$44.55","$43.84","$44.36","1,758,648"
06/22/2015,"$43.25","$44.12","$43.01","$43.89","2,540,905"
06/19/2015,"$43.40","$43.82","$43.00","$43.09","2,339,325"
06/18/2015,"$43.20","$43.39","$42.86","$43.19","2,020,892"
06/17/2015,"$42.52","$43.23","$42.18","$43.03","2,165,589"
06/16/2015,"$42.42","$42.65","$41.97","$42.51","1,382,972"
06/15/2015,"$42.87","$43.27","$42.32","$42.52","1,859,235"
06/12/2015,"$42.92","$43.27","$42.69","$42.96","1,335,237"
06/11/2015,"$43.21","$43.73","$42.75","$43.00","1,807,900"
06/10/2015,"$43.15","$43.48","$42.70","$42.85","1,784,684"
06/09/2015,"$43.12","$43.45","$42.89","$42.90","1,284,222"
06/08/2015,"$44.02","$44.28","$43.02","$43.05","1,477,019"
06/05/2015,"$44.10","$44.25","$43.59","$44.14","1,492,858"
06/04/2015,"$44.15","$44.46","$43.87","$44.02","1,867,971"
06/03/2015,"$43.99","$44.31","$43.60","$43.72","1,990,314"
06/02/2015,"$43.39","$44.42","$42.77","$43.97","2,307,816"
06/01/2015,"$43.74","$44.10","$42.41","$43.47","3,292,829"
05/29/2015,"$43.98","$44.49","$43.12","$43.41","8,682,837"
05/28/2015,"$39.57","$41.32","$39.51","$40.92","3,858,234"
05/27/2015,"$40.55","$40.62","$39.40","$39.47","1,799,721"
05/26/2015,"$40.69","$40.98","$39.85","$40.18","1,237,145"
05/22/2015,"$40.76","$40.98","$40.38","$40.80","1,139,103"
05/21/2015,"$40.43","$40.92","$40.25","$40.77","1,287,490"
05/20/2015,"$40.20","$40.33","$39.68","$40.14","1,006,598"
05/19/2015,"$40.38","$40.43","$40.03","$40.31","1,001,910"
05/18/2015,"$40.10","$40.31","$39.70","$40.24","1,160,824"
05/15/2015,"$39.17","$40.09","$39.10","$40.06","1,386,662"
05/14/2015,"$39.38","$39.40","$38.75","$39.17","747,201"
05/13/2015,"$39.07","$39.38","$38.52","$39.20","1,569,805"
05/12/2015,"$39.50","$39.82","$39.02","$39.05","1,334,042"
05/11/2015,"$40.09","$40.49","$39.75","$39.76","1,018,921"
05/08/2015,"$39.84","$40.50","$39.72","$40.19","1,056,451"
05/07/2015,"$39.14","$39.62","$38.47","$39.51","1,705,058"
05/06/2015,"$39.90","$39.90","$38.75","$39.13","1,451,877"
05/05/2015,"$39.93","$40.29","$39.74","$40.02","1,096,854"
05/04/2015,"$39.31","$40.16","$39.10","$40.12","877,967"
05/01/2015,"$38.63","$39.19","$38.46","$39.17","769,771"
04/30/2015,"$39.23","$39.33","$38.42","$38.54","1,135,744"
04/29/2015,"$40.07","$40.54","$39.16","$39.33","1,247,395"
04/28/2015,"$40.18","$40.47","$39.56","$40.39","947,765"
04/27/2015,"$40.73","$41.01","$40.25","$40.28","1,048,833"
04/24/2015,"$40.30","$40.77","$40.14","$40.71","871,801"
04/23/2015,"$40.25","$40.54","$40.05","$40.32","866,575"
04/22/2015,"$40.00","$40.36","$39.60","$40.24","976,108"
04/21/2015,"$40.44","$40.49","$39.73","$40.08","1,376,956"
