Date,Open,High,Low,Close,Volume
02/08/2017,"$45.26","$45.26","$44.51","$45.06","4,330,414"
02/07/2017,"$45.75","$46.13","$45.01","$45.17","6,119,960"
02/06/2017,"$44.80","$45.60","$44.74","$45.30","6,496,054"
02/03/2017,"$44.31","$44.55","$43.76","$44.20","6,357,916"
02/02/2017,"$43.61","$44.52","$43.57","$44.01","7,607,665"
02/01/2017,"$44.75","$45.00","$43.91","$44.05","7,955,513"
01/31/2017,"$44.79","$44.84","$43.74","$44.25","11,719,840"
01/30/2017,"$45.62","$45.92","$43.86","$44.90","16,786,051"
01/27/2017,"$50.00","$50.00","$46.72","$46.95","19,411,051"
01/26/2017,"$48.43","$49.71","$48.33","$49.59","10,332,850"
01/25/2017,"$47.90","$48.21","$47.61","$47.91","5,139,002"
01/24/2017,"$47.05","$47.80","$46.80","$47.54","4,926,677"
01/23/2017,"$47.90","$48.09","$46.75","$46.94","4,284,196"
01/20/2017,"$47.54","$48.16","$47.24","$48.00","5,611,793"
01/19/2017,"$47.64","$48.09","$46.88","$47.26","3,729,315"
01/18/2017,"$46.72","$47.80","$46.65","$47.64","5,176,524"
01/17/2017,"$47.56","$47.75","$46.67","$46.75","5,350,794"
01/13/2017,"$48.16","$48.43","$47.54","$47.65","3,541,980"
01/12/2017,"$48.67","$49.00","$46.84","$48.10","5,448,098"
01/11/2017,"$49.29","$49.90","$48.10","$48.64","6,925,770"
01/10/2017,"$47.00","$48.51","$46.97","$48.48","7,483,764"
01/09/2017,"$46.01","$47.34","$45.78","$47.08","4,739,142"
01/06/2017,"$45.85","$46.72","$45.47","$46.21","7,260,197"
01/05/2017,"$46.52","$46.93","$45.61","$45.89","6,825,316"
01/04/2017,"$46.63","$47.44","$46.35","$46.70","5,859,604"
01/03/2017,"$47.28","$47.34","$46.14","$46.30","6,737,752"
12/30/2016,"$47.42","$47.66","$46.47","$46.69","4,495,016"
12/29/2016,"$47.80","$48.00","$46.96","$47.25","3,709,262"
12/28/2016,"$48.73","$48.83","$47.61","$47.67","4,153,630"
12/27/2016,"$48.29","$48.92","$48.14","$48.61","2,797,847"
12/23/2016,"$48.61","$48.84","$48.29","$48.48","2,915,271"
12/22/2016,"$49.35","$49.45","$48.46","$48.69","3,618,731"
12/21/2016,"$49.34","$49.90","$49.23","$49.47","3,827,868"
12/20/2016,"$48.50","$49.50","$48.50","$49.22","4,814,999"
12/19/2016,"$47.89","$48.60","$47.74","$48.58","4,729,855"
12/16/2016,"$48.61","$49.07","$47.56","$47.63","9,299,673"
12/15/2016,"$48.10","$49.95","$48.10","$48.30","7,530,837"
12/14/2016,"$47.84","$48.75","$47.81","$47.92","5,293,889"
12/13/2016,"$47.94","$48.49","$47.71","$47.84","6,147,695"
12/12/2016,"$49.16","$49.34","$47.44","$47.59","8,643,546"
12/09/2016,"$49.27","$50.64","$48.74","$49.64","9,850,774"
12/08/2016,"$48.60","$48.60","$47.70","$48.05","6,239,952"
12/07/2016,"$46.61","$48.94","$46.52","$48.65","10,210,330"
12/06/2016,"$46.16","$46.55","$45.92","$46.43","5,334,516"
12/05/2016,"$46.45","$46.54","$45.58","$45.72","5,256,443"
12/02/2016,"$46.09","$46.86","$45.91","$46.10","6,505,099"
12/01/2016,"$46.20","$47.09","$45.66","$45.75","7,435,186"
11/30/2016,"$46.14","$46.86","$45.42","$46.44","7,904,220"
11/29/2016,"$46.59","$47.14","$46.17","$46.89","4,885,442"
11/28/2016,"$46.64","$46.89","$45.66","$46.50","7,369,639"
11/25/2016,"$46.34","$46.86","$46.30","$46.82","2,426,632"
11/23/2016,"$46.05","$46.39","$45.70","$46.34","5,160,176"
11/22/2016,"$46.03","$46.95","$45.95","$46.08","5,781,259"
11/21/2016,"$46.46","$46.75","$45.95","$46.08","6,651,810"
11/18/2016,"$46.15","$46.49","$45.62","$46.26","7,795,053"
11/17/2016,"$44.39","$45.85","$44.05","$45.83","8,558,682"
11/16/2016,"$44.66","$44.80","$43.93","$44.45","6,166,966"
11/15/2016,"$45.00","$45.28","$43.59","$44.76","13,166,630"
11/14/2016,"$43.01","$43.61","$42.98","$43.40","7,773,627"
11/11/2016,"$42.07","$42.95","$41.68","$42.93","6,623,490"
11/10/2016,"$42.71","$43.39","$42.15","$42.30","8,666,121"
11/09/2016,"$40.76","$42.75","$40.44","$42.41","8,392,383"
11/08/2016,"$41.42","$41.85","$41.02","$41.70","5,725,832"
11/07/2016,"$40.39","$41.65","$40.31","$41.49","8,334,221"
11/04/2016,"$39.27","$40.22","$39.24","$39.74","6,717,513"
11/03/2016,"$39.78","$40.24","$39.30","$39.38","6,006,541"
11/02/2016,"$39.72","$40.25","$39.62","$39.71","5,274,455"
11/01/2016,"$40.51","$40.85","$39.57","$39.80","9,028,663"
10/31/2016,"$40.31","$40.81","$40.08","$40.60","5,961,076"
10/28/2016,"$39.85","$40.57","$39.80","$40.06","6,710,739"
10/27/2016,"$39.45","$40.18","$39.26","$39.91","6,542,122"
10/26/2016,"$38.57","$40.26","$38.21","$39.32","10,112,310"
10/25/2016,"$39.66","$40.43","$39.36","$39.69","6,020,181"
10/24/2016,"$40.25","$40.55","$39.77","$39.83","6,466,282"
10/21/2016,"$39.97","$40.25","$39.65","$39.90","9,981,485"
10/20/2016,"$40.93","$40.93","$39.41","$40.59","14,695,860"
10/19/2016,"$39.48","$40.81","$39.40","$40.63","12,764,200"
10/18/2016,"$38.84","$39.89","$38.84","$39.35","10,538,150"
10/17/2016,"$38.66","$39.73","$38.37","$38.58","5,602,040"
10/14/2016,"$39.45","$39.92","$38.59","$38.65","8,871,203"
10/13/2016,"$36.95","$39.50","$36.80","$39.24","14,773,300"
10/12/2016,"$38.12","$38.38","$37.36","$37.38","7,410,000"
10/11/2016,"$39.99","$39.99","$38.06","$38.20","10,034,720"
10/10/2016,"$37.95","$38.95","$37.47","$38.89","6,939,866"
10/07/2016,"$38.25","$38.48","$37.40","$37.73","5,133,308"
10/06/2016,"$37.83","$38.22","$37.57","$38.17","5,160,788"
10/05/2016,"$37.82","$38.12","$37.31","$37.87","4,713,128"
10/04/2016,"$38.39","$38.78","$37.55","$37.63","9,065,626"
10/03/2016,"$36.46","$37.75","$36.33","$37.70","8,878,923"
09/30/2016,"$35.98","$36.99","$35.86","$36.61","7,429,336"
09/29/2016,"$35.65","$36.60","$35.60","$35.82","6,183,332"
09/28/2016,"$36.10","$36.86","$35.78","$35.84","6,291,604"
09/27/2016,"$34.98","$36.13","$34.90","$36.00","5,068,871"
09/26/2016,"$35.19","$35.55","$34.86","$34.93","7,353,514"
09/23/2016,"$35.30","$35.67","$34.96","$35.55","4,603,182"
09/22/2016,"$34.96","$36.03","$34.85","$35.25","7,438,727"
09/21/2016,"$35.00","$35.15","$33.90","$34.67","10,408,210"
09/20/2016,"$35.75","$35.86","$35.13","$35.15","6,666,508"
09/19/2016,"$35.66","$36.11","$35.35","$35.44","5,422,349"
09/16/2016,"$36.26","$36.36","$35.47","$35.49","10,724,820"
09/15/2016,"$36.31","$36.63","$35.85","$36.41","7,805,325"
09/14/2016,"$37.00","$37.20","$36.25","$36.39","8,092,808"
09/13/2016,"$38.12","$38.31","$37.22","$37.37","9,330,297"
09/12/2016,"$37.22","$38.38","$36.62","$38.34","11,959,830"
09/09/2016,"$39.00","$39.34","$38.17","$38.49","8,623,597"
09/08/2016,"$38.68","$39.41","$38.43","$39.35","7,101,532"
09/07/2016,"$37.50","$39.52","$37.42","$38.75","13,775,000"
09/06/2016,"$36.45","$36.97","$36.36","$36.96","5,501,735"
09/02/2016,"$36.00","$36.70","$36.00","$36.53","5,429,115"
09/01/2016,"$36.53","$36.71","$35.88","$36.24","6,940,639"
08/31/2016,"$36.97","$36.98","$35.63","$36.30","13,111,740"
08/30/2016,"$35.45","$37.36","$35.35","$37.05","14,509,340"
08/29/2016,"$36.13","$36.41","$36.05","$36.17","4,760,672"
08/26/2016,"$36.68","$36.84","$36.02","$36.23","6,257,687"
08/25/2016,"$36.34","$36.94","$36.32","$36.72","5,446,011"
08/24/2016,"$36.27","$36.99","$36.19","$36.65","5,946,506"
08/23/2016,"$36.32","$36.65","$36.18","$36.40","5,402,244"
08/22/2016,"$36.33","$36.48","$35.86","$36.00","5,189,371"
08/19/2016,"$36.44","$36.74","$36.10","$36.49","6,675,287"
08/18/2016,"$36.43","$36.70","$36.05","$36.67","5,293,057"
08/17/2016,"$36.68","$36.75","$36.19","$36.60","8,002,043"
08/16/2016,"$35.67","$36.79","$35.63","$36.75","9,384,959"
08/15/2016,"$34.96","$36.05","$34.90","$35.87","7,137,204"
08/12/2016,"$34.74","$35.17","$34.66","$34.92","6,064,005"
08/11/2016,"$34.25","$35.08","$34.24","$34.96","7,666,723"
08/10/2016,"$34.59","$34.75","$33.74","$34.18","5,878,383"
08/09/2016,"$35.21","$35.50","$34.54","$34.59","7,307,238"
08/08/2016,"$34.22","$34.88","$34.12","$34.35","7,142,394"
08/05/2016,"$33.71","$34.72","$33.68","$34.44","16,437,180"
08/04/2016,"$33.57","$33.77","$33.00","$33.58","6,384,697"
08/03/2016,"$33.47","$33.96","$33.17","$33.48","8,254,209"
08/02/2016,"$35.39","$35.40","$33.38","$33.51","12,100,440"
08/01/2016,"$35.54","$35.75","$35.10","$35.60","7,058,968"
07/29/2016,"$36.26","$36.74","$35.50","$35.50","9,138,561"
07/28/2016,"$36.07","$36.53","$35.75","$36.34","6,519,640"
07/27/2016,"$36.50","$36.60","$35.90","$36.20","6,671,186"
07/26/2016,"$35.91","$36.68","$35.65","$36.55","8,871,189"
07/25/2016,"$36.35","$36.40","$35.52","$35.80","9,526,661"
07/22/2016,"$36.45","$36.56","$35.60","$36.36","14,704,700"
07/21/2016,"$35.10","$35.56","$34.44","$34.96","16,429,850"
07/20/2016,"$36.07","$36.73","$35.39","$35.92","13,098,350"
07/19/2016,"$35.78","$36.08","$35.33","$36.01","7,956,271"
07/18/2016,"$36.03","$36.34","$35.76","$36.03","8,606,791"
07/15/2016,"$35.51","$36.06","$35.32","$35.89","9,817,118"
07/14/2016,"$35.11","$36.19","$35.00","$35.88","16,884,410"
07/13/2016,"$35.00","$35.29","$34.12","$34.45","15,215,090"
07/12/2016,"$32.78","$34.89","$32.75","$34.66","25,515,689"
07/11/2016,"$30.23","$31.44","$30.22","$31.16","12,374,380"
07/08/2016,"$29.80","$30.28","$29.70","$30.04","13,659,250"
07/07/2016,"$28.39","$29.47","$28.31","$29.40","11,779,810"
07/06/2016,"$27.76","$28.40","$27.12","$28.35","18,757,539"
07/05/2016,"$29.09","$29.16","$28.19","$28.93","9,467,046"
07/01/2016,"$28.26","$29.52","$28.20","$29.33","13,249,960"
06/30/2016,"$27.86","$28.31","$27.49","$28.31","11,148,270"
06/29/2016,"$26.94","$28.07","$26.94","$27.70","15,008,770"
06/28/2016,"$26.12","$26.88","$25.76","$26.77","20,026,100"
06/27/2016,"$26.85","$26.85","$24.85","$25.27","23,200,029"
06/24/2016,"$28.20","$28.50","$27.04","$27.05","36,049,898"
06/23/2016,"$30.25","$30.49","$29.77","$30.33","9,139,949"
06/22/2016,"$30.05","$30.33","$29.82","$29.89","6,675,906"
06/21/2016,"$30.29","$30.39","$29.69","$30.02","8,922,946"
06/20/2016,"$29.75","$30.39","$29.64","$29.71","8,359,297"
06/17/2016,"$29.10","$29.55","$28.85","$29.34","15,301,910"
06/16/2016,"$29.80","$29.80","$29.02","$29.14","18,236,711"
06/15/2016,"$30.65","$31.10","$30.45","$30.49","8,152,256"
06/14/2016,"$31.81","$31.97","$30.02","$30.36","13,802,860"
06/13/2016,"$32.99","$32.99","$31.64","$31.80","9,225,556"
06/10/2016,"$32.80","$33.48","$32.64","$33.14","8,252,308"
06/09/2016,"$32.25","$33.58","$32.25","$33.40","8,188,322"
06/08/2016,"$32.63","$32.97","$32.22","$32.51","8,173,130"
06/07/2016,"$31.46","$32.87","$31.10","$32.36","12,424,210"
06/06/2016,"$30.77","$31.30","$30.38","$31.26","8,335,439"
