Date,Open,High,Low,Close,Volume
02/08/2017,"$43.69","$43.88","$43.27","$43.87","3,888,578"
02/07/2017,"$44.13","$44.30","$43.45","$43.53","3,830,241"
02/06/2017,"$44.73","$45.17","$43.86","$43.96","4,151,342"
02/03/2017,"$44.48","$45.26","$44.26","$44.73","4,530,774"
02/02/2017,"$44.41","$44.98","$44.23","$44.31","3,872,433"
02/01/2017,"$44.58","$44.73","$44.05","$44.50","3,059,346"
01/31/2017,"$43.78","$44.65","$43.36","$44.52","4,565,083"
01/30/2017,"$43.42","$44.30","$43.29","$44.22","3,420,555"
01/27/2017,"$45.29","$45.36","$42.99","$43.47","6,706,356"
01/26/2017,"$44.75","$45.38","$44.71","$45.23","3,611,732"
01/25/2017,"$44.49","$44.95","$44.45","$44.67","3,126,059"
01/24/2017,"$43.48","$44.31","$43.48","$44.17","2,333,415"
01/23/2017,"$43.24","$43.72","$42.83","$43.54","2,517,726"
01/20/2017,"$43.52","$43.58","$42.50","$43.36","6,142,185"
01/19/2017,"$44.75","$44.82","$43.40","$43.63","4,767,794"
01/18/2017,"$44.22","$44.78","$43.70","$44.77","3,905,356"
01/17/2017,"$44.02","$45.83","$44.02","$44.88","5,182,334"
01/13/2017,"$44.13","$44.37","$43.76","$43.83","3,700,317"
01/12/2017,"$43.78","$44.24","$43.50","$44.23","4,094,450"
01/11/2017,"$44.04","$44.17","$43.01","$43.42","2,899,093"
01/10/2017,"$43.52","$44.29","$43.19","$43.86","4,718,406"
01/09/2017,"$42.91","$43.81","$42.80","$43.34","5,400,018"
01/06/2017,"$42.87","$43.04","$42.40","$42.77","3,926,456"
01/05/2017,"$42.75","$42.81","$41.79","$42.64","5,829,093"
01/04/2017,"$43.34","$44.18","$43.31","$43.77","4,745,140"
01/03/2017,"$43.05","$43.16","$42.23","$42.76","5,362,741"
12/30/2016,"$43.31","$43.65","$42.34","$42.67","3,714,345"
12/29/2016,"$43.67","$44.23","$42.71","$43.07","4,837,394"
12/28/2016,"$44.99","$45.00","$43.12","$43.71","4,635,442"
12/27/2016,"$44.96","$45.38","$44.64","$44.75","2,643,668"
12/23/2016,"$45.02","$45.37","$44.32","$44.77","3,817,797"
12/22/2016,"$46.94","$47.23","$44.74","$45.10","6,501,211"
12/21/2016,"$46.90","$47.48","$46.61","$46.82","3,532,564"
12/20/2016,"$46.64","$47.53","$46.63","$47.26","4,261,190"
12/19/2016,"$47.22","$47.57","$46.39","$46.56","5,673,122"
12/16/2016,"$48.01","$48.11","$46.95","$47.00","9,882,699"
12/15/2016,"$48.30","$48.63","$48.08","$48.16","4,700,369"
12/14/2016,"$48.88","$49.07","$48.18","$48.21","4,084,699"
12/13/2016,"$48.80","$49.01","$48.24","$48.66","3,822,116"
12/12/2016,"$48.91","$49.04","$48.56","$48.77","3,125,735"
12/09/2016,"$49.20","$49.20","$48.62","$49.00","4,294,387"
12/08/2016,"$48.52","$49.40","$48.50","$49.31","7,336,691"
12/07/2016,"$47.36","$48.57","$47.36","$48.52","5,970,938"
12/06/2016,"$46.54","$47.09","$46.54","$46.93","5,173,214"
12/05/2016,"$46.06","$47.71","$46.06","$46.82","8,521,338"
12/02/2016,"$45.71","$46.26","$45.53","$45.67","3,815,484"
12/01/2016,"$45.55","$46.06","$45.30","$45.45","5,018,952"
11/30/2016,"$45.37","$46.02","$45.07","$45.70","5,045,033"
11/29/2016,"$45.52","$46.00","$45.39","$45.62","3,412,187"
11/28/2016,"$46.58","$46.64","$45.28","$45.33","7,114,009"
11/25/2016,"$47.00","$47.17","$46.28","$46.58","2,718,618"
11/23/2016,"$46.55","$47.29","$46.37","$46.96","5,307,966"
11/22/2016,"$45.42","$46.98","$45.32","$46.60","6,451,203"
11/21/2016,"$45.08","$46.14","$44.83","$45.65","7,409,528"
11/18/2016,"$45.68","$45.68","$44.67","$44.79","12,764,380"
11/17/2016,"$42.89","$46.72","$42.55","$45.99","25,416,400"
11/16/2016,"$39.75","$40.60","$39.43","$40.45","11,821,340"
11/15/2016,"$39.55","$40.28","$39.03","$39.88","8,847,447"
11/14/2016,"$38.56","$40.29","$38.56","$39.94","9,473,238"
11/11/2016,"$38.69","$39.07","$37.65","$38.36","14,522,790"
11/10/2016,"$39.16","$40.07","$39.15","$39.98","6,318,020"
