Date,Open,High,Low,Close,Volume
02/07/2020,"$56.75","$57.61","$56.53","$57.10","329,793"
02/06/2020,"$60.17","$60.17","$56.68","$57.07","353,833"
02/05/2020,"$58.95","$60.23","$57.77","$59.72","653,935"
02/04/2020,"$56.61","$58.15","$55.91","$57.77","572,606"
02/03/2020,"$55.50","$56.13","$54.80","$55.35","610,533"
01/31/2020,"$60.78","$60.78","$54.70","$55.17","715,831"
01/30/2020,"$60.12","$61.54","$59.64","$61.53","273,960"
01/29/2020,"$62.28","$62.55","$60.90","$60.90","142,207"
01/28/2020,"$62.23","$62.72","$61.94","$62.28","328,611"
01/27/2020,"$62.22","$62.48","$61.27","$61.80","164,738"
01/24/2020,"$64.91","$64.97","$62.77","$63.54","180,545"
01/23/2020,"$63.84","$65.19","$63.04","$65.08","225,671"
01/22/2020,"$65.07","$65.57","$64.13","$64.14","171,323"
01/21/2020,"$65.62","$65.81","$63.99","$64.85","248,421"
01/17/2020,"$66.11","$66.52","$65.66","$66.20","241,599"
01/16/2020,"$65.32","$66.05","$65.23","$65.74","188,368"
01/15/2020,"$63.83","$64.91","$63.70","$64.79","337,841"
01/14/2020,"$64.35","$65.29","$63.74","$64.04","332,411"
01/13/2020,"$63.92","$64.40","$63.92","$64.09","395,153"
01/10/2020,"$64.84","$64.84","$63.74","$64.11","161,456"
01/09/2020,"$64.46","$65.18","$64.17","$64.68","183,813"
01/08/2020,"$63.90","$65.09","$63.79","$64.21","164,543"
01/07/2020,"$63.96","$64.21","$63.48","$63.72","300,219"
01/06/2020,"$63.13","$64.26","$63.13","$64.10","189,453"
01/03/2020,"$64.18","$64.25","$62.06","$64.02","246,938"
01/02/2020,"$65.15","$65.15","$64.29","$65.04","349,551"
12/31/2019,"$64.21","$65.12","$64.16","$64.63","266,403"
12/30/2019,"$64.94","$65.09","$64.12","$64.54","157,420"
12/27/2019,"$65.42","$65.42","$64.71","$64.88","157,654"
12/26/2019,"$65.24","$65.38","$64.80","$65.22","141,845"
12/24/2019,"$65.44","$65.44","$64.64","$65.15","70,376"
12/23/2019,"$65.08","$65.98","$64.77","$65.32","265,826"
12/20/2019,"$65.60","$66.04","$64.56","$64.76","1,016,698"
12/19/2019,"$65.00","$65.23","$64.33","$65.15","553,143"
12/18/2019,"$64.58","$65.25","$63.66","$64.96","457,209"
12/17/2019,"$62.89","$64.67","$62.76","$64.43","230,839"
12/16/2019,"$63.29","$64.00","$62.89","$63.06","172,251"
12/13/2019,"$63.44","$64.13","$62.35","$62.58","396,747"
12/12/2019,"$62.85","$64.04","$62.85","$63.54","229,713"
12/11/2019,"$62.97","$63.52","$62.35","$62.68","169,474"
12/10/2019,"$63.14","$63.59","$62.28","$62.97","233,619"
12/09/2019,"$62.97","$63.42","$62.75","$63.03","262,868"
12/06/2019,"$62.69","$63.65","$62.69","$63.29","184,205"
12/05/2019,"$62.16","$62.28","$61.51","$61.85","221,290"
12/04/2019,"$61.38","$62.43","$61.38","$62.05","211,820"
12/03/2019,"$61.61","$62.28","$60.67","$61.29","218,337"
12/02/2019,"$62.95","$63.13","$61.82","$62.23","200,560"
11/29/2019,"$63.65","$64.23","$62.35","$62.64","93,947"
11/27/2019,"$64.44","$64.60","$63.69","$63.93","107,418"
11/26/2019,"$63.63","$64.57","$63.28","$64.31","294,642"
11/25/2019,"$61.81","$64.00","$61.51","$63.84","270,950"
11/22/2019,"$61.37","$61.76","$60.95","$61.69","159,337"
11/21/2019,"$61.96","$61.96","$60.90","$61.07","168,800"
11/20/2019,"$61.99","$62.46","$61.32","$61.81","263,148"
11/19/2019,"$62.25","$62.70","$61.79","$62.20","158,425"
11/18/2019,"$62.38","$62.50","$61.71","$61.99","113,054"
11/15/2019,"$62.86","$63.05","$61.99","$62.44","221,029"
11/14/2019,"$63.08","$63.20","$62.00","$62.44","152,993"
11/13/2019,"$62.50","$63.25","$62.14","$63.05","204,552"
11/12/2019,"$62.58","$62.94","$62.16","$62.85","177,395"
11/11/2019,"$62.56","$63.09","$62.18","$62.57","134,375"
11/08/2019,"$63.11","$63.25","$62.49","$63.15","167,303"
11/07/2019,"$62.80","$63.20","$61.94","$63.19","250,179"
11/06/2019,"$62.58","$63.33","$62.13","$62.52","270,108"
11/05/2019,"$61.77","$63.69","$61.39","$62.84","272,827"
11/04/2019,"$60.07","$61.49","$60.00","$61.46","235,107"
11/01/2019,"$59.90","$60.13","$58.92","$59.44","200,251"
10/31/2019,"$60.00","$60.68","$58.29","$59.55","339,909"
10/30/2019,"$58.66","$59.33","$58.17","$59.21","157,186"
10/29/2019,"$59.02","$59.93","$58.91","$59.06","160,726"
10/28/2019,"$59.17","$60.00","$59.04","$59.34","173,066"
10/25/2019,"$57.56","$59.36","$57.55","$59.03","108,175"
10/24/2019,"$59.09","$59.47","$57.62","$57.74","122,965"
10/23/2019,"$58.53","$59.04","$58.24","$58.65","116,560"
10/22/2019,"$57.88","$59.02","$57.18","$58.67","202,506"
10/21/2019,"$57.30","$58.47","$57.16","$58.00","215,416"
10/18/2019,"$56.38","$56.94","$56.02","$56.75","172,735"
10/17/2019,"$56.68","$56.89","$55.99","$56.59","184,183"
10/16/2019,"$56.76","$57.06","$56.24","$56.55","189,027"
10/15/2019,"$56.26","$57.44","$55.93","$56.76","271,380"
10/14/2019,"$55.43","$56.54","$55.36","$55.94","249,237"
10/11/2019,"$56.09","$57.08","$55.57","$55.68","193,960"
10/10/2019,"$54.80","$55.52","$54.51","$55.24","149,087"
10/09/2019,"$55.28","$55.77","$54.86","$54.87","175,991"
10/08/2019,"$55.02","$55.57","$54.61","$54.76","131,374"
10/07/2019,"$55.35","$56.09","$54.97","$55.62","128,209"
10/04/2019,"$55.10","$56.10","$55.02","$55.61","117,924"
10/03/2019,"$55.51","$56.06","$54.31","$55.08","131,449"
10/02/2019,"$55.76","$56.94","$54.29","$55.88","247,009"
10/01/2019,"$57.60","$58.76","$56.13","$56.45","194,884"
09/30/2019,"$57.56","$58.09","$57.13","$57.40","331,753"
09/27/2019,"$58.68","$59.19","$56.89","$57.13","157,530"
09/26/2019,"$58.68","$58.87","$58.11","$58.61","110,561"
09/25/2019,"$57.71","$59.16","$57.71","$58.90","153,002"
09/24/2019,"$58.17","$58.64","$57.39","$57.71","175,514"
09/23/2019,"$58.27","$58.50","$56.88","$57.86","238,740"
09/20/2019,"$59.78","$59.84","$58.27","$58.64","604,108"
09/19/2019,"$59.64","$60.44","$58.49","$59.23","193,334"
09/18/2019,"$59.31","$59.69","$58.11","$59.56","275,214"
09/17/2019,"$59.13","$59.70","$58.16","$59.24","185,267"
09/16/2019,"$60.80","$61.51","$59.27","$59.51","321,239"
09/13/2019,"$60.94","$62.43","$60.48","$62.22","190,393"
09/12/2019,"$60.90","$61.00","$59.40","$60.28","259,290"
09/11/2019,"$59.51","$61.29","$59.06","$60.89","190,943"
09/10/2019,"$58.08","$59.49","$57.42","$59.39","196,999"
09/09/2019,"$57.09","$58.24","$56.95","$58.17","206,586"
09/06/2019,"$57.60","$57.63","$56.79","$56.97","119,277"
09/05/2019,"$57.12","$58.97","$57.05","$57.11","263,328"
09/04/2019,"$56.85","$57.45","$56.17","$56.20","207,457"
09/03/2019,"$56.86","$57.35","$55.58","$56.22","247,060"
08/30/2019,"$57.47","$58.09","$57.07","$57.26","224,758"
08/29/2019,"$56.05","$57.34","$55.87","$57.12","113,907"
08/28/2019,"$53.79","$55.95","$53.74","$55.19","268,444"
08/27/2019,"$55.42","$55.88","$53.64","$53.80","186,385"
08/26/2019,"$55.21","$55.48","$54.33","$54.90","180,902"
08/23/2019,"$56.06","$56.59","$54.04","$54.25","172,002"
08/22/2019,"$57.22","$57.64","$56.04","$56.31","114,039"
08/21/2019,"$56.68","$57.22","$56.10","$56.90","116,816"
08/20/2019,"$56.64","$56.64","$54.22","$55.93","195,419"
08/19/2019,"$56.44","$57.13","$55.96","$57.00","165,943"
