Date,Open,High,Low,Close,Volume
02/08/2018,"$54.45","$54.45","$53.25","$53.30","281,638"
02/07/2018,"$52.70","$54.20","$52.26","$54.15","291,165"
02/06/2018,"$50.50","$53.40","$50.25","$52.85","303,166"
02/05/2018,"$53.90","$54.25","$51.80","$52.15","345,276"
02/02/2018,"$58.00","$58.00","$53.95","$54.15","361,321"
02/01/2018,"$55.70","$56.65","$55.20","$56.55","340,482"
01/31/2018,"$56.10","$57.00","$55.70","$55.75","241,788"
01/30/2018,"$56.50","$57.35","$55.70","$55.85","300,021"
01/29/2018,"$54.90","$57.13","$54.50","$56.75","386,666"
01/26/2018,"$54.05","$55.15","$53.70","$54.90","402,941"
01/25/2018,"$55.25","$55.45","$53.40","$54.00","418,997"
01/24/2018,"$54.75","$55.60","$54.05","$55.25","389,962"
01/23/2018,"$54.50","$55.20","$54.00","$54.80","305,574"
01/22/2018,"$54.10","$54.55","$53.65","$54.45","138,605"
01/19/2018,"$54.15","$54.90","$53.85","$54.20","271,558"
01/18/2018,"$53.90","$54.30","$53.64","$53.85","282,337"
01/17/2018,"$55.50","$55.55","$53.90","$54.00","215,874"
01/16/2018,"$55.25","$55.93","$54.85","$55.20","485,453"
01/12/2018,"$53.55","$55.15","$53.50","$54.75","341,260"
01/11/2018,"$50.95","$53.60","$50.90","$53.25","325,570"
01/10/2018,"$49.30","$50.95","$49.05","$50.75","349,290"
01/09/2018,"$50.15","$50.25","$49.05","$49.25","405,431"
01/08/2018,"$50.90","$51.30","$49.35","$49.95","549,692"
01/05/2018,"$51.55","$51.89","$50.60","$51.10","277,073"
01/04/2018,"$51.30","$51.85","$50.93","$51.45","315,026"
01/03/2018,"$53.00","$53.05","$51.25","$51.30","256,268"
01/02/2018,"$53.10","$53.30","$52.73","$53.00","360,992"
12/29/2017,"$53.70","$54.15","$53.05","$53.10","169,613"
12/28/2017,"$53.50","$54.05","$53.05","$53.60","111,192"
12/27/2017,"$53.70","$54.40","$53.30","$53.55","107,086"
12/26/2017,"$53.85","$54.15","$53.55","$53.85","99,747"
12/22/2017,"$54.60","$54.60","$53.75","$53.80","146,124"
12/21/2017,"$52.90","$54.60","$52.58","$54.45","291,222"
12/20/2017,"$52.50","$52.95","$52.15","$52.45","176,206"
12/19/2017,"$54.85","$54.85","$51.40","$51.95","464,729"
12/18/2017,"$53.20","$54.73","$53.10","$54.55","217,417"
12/15/2017,"$52.05","$53.40","$50.50","$52.65","709,091"
12/14/2017,"$52.70","$53.05","$51.75","$52.15","299,026"
12/13/2017,"$53.00","$53.18","$52.20","$52.50","238,402"
12/12/2017,"$53.90","$54.18","$52.85","$52.95","327,131"
12/11/2017,"$52.70","$53.90","$52.50","$53.85","321,936"
12/08/2017,"$52.00","$53.45","$51.85","$52.50","324,915"
12/07/2017,"$51.15","$52.20","$51.08","$51.65","267,691"
12/06/2017,"$50.70","$51.50","$50.30","$51.40","193,474"
12/05/2017,"$51.30","$52.00","$50.60","$50.95","258,683"
12/04/2017,"$51.65","$52.95","$51.10","$51.30","208,073"
12/01/2017,"$51.95","$52.55","$50.05","$50.80","370,199"
11/30/2017,"$51.80","$52.95","$51.30","$52.05","298,152"
11/29/2017,"$50.95","$51.90","$50.95","$51.60","244,897"
11/28/2017,"$49.75","$51.00","$49.25","$50.80","247,046"
11/27/2017,"$50.05","$50.05","$49.31","$49.65","376,301"
11/24/2017,"$50.35","$50.35","$49.45","$50.00","174,472"
11/22/2017,"$51.70","$51.85","$50.30","$50.40","204,475"
11/21/2017,"$50.85","$51.60","$50.60","$51.40","294,645"
11/20/2017,"$50.25","$51.00","$50.00","$50.65","270,356"
11/17/2017,"$49.45","$50.40","$48.90","$50.30","241,463"
11/16/2017,"$48.35","$49.85","$48.35","$49.60","343,899"
11/15/2017,"$47.30","$48.45","$46.94","$48.10","356,766"
11/14/2017,"$45.90","$47.75","$45.75","$47.65","408,796"
11/13/2017,"$46.00","$46.15","$45.65","$45.95","256,145"
11/10/2017,"$45.80","$46.35","$45.75","$45.90","346,702"
11/09/2017,"$45.70","$46.40","$45.55","$45.80","147,269"
11/08/2017,"$46.50","$46.50","$45.78","$46.20","268,619"
11/07/2017,"$47.20","$47.20","$46.20","$46.50","273,275"
11/06/2017,"$46.00","$47.50","$46.00","$47.00","376,078"
11/03/2017,"$46.70","$46.80","$45.61","$45.75","341,198"
11/02/2017,"$46.90","$47.30","$46.50","$46.75","246,767"
11/01/2017,"$47.60","$47.70","$46.45","$47.05","265,353"
