Date,Open,High,Low,Close,Volume
02/07/2020,"$28.06","$28.55","$27.78","$28.38","6,231,754"
02/06/2020,"$29.26","$29.45","$28.14","$28.30","8,335,783"
02/05/2020,"$28.96","$29.24","$28.55","$29.10","8,959,684"
02/04/2020,"$27.68","$28.61","$27.55","$28.43","10,832,930"
02/03/2020,"$26.93","$27.67","$26.74","$27.16","7,631,879"
01/31/2020,"$27.50","$27.52","$26.59","$26.84","11,027,940"
01/30/2020,"$26.30","$27.79","$26.26","$27.72","10,685,470"
01/29/2020,"$26.88","$27.49","$26.74","$26.80","9,094,411"
01/28/2020,"$26.36","$27.12","$26.26","$26.90","11,939,170"
01/27/2020,"$26.57","$26.60","$25.37","$26.11","21,573,811"
01/24/2020,"$28.85","$28.86","$27.01","$27.64","18,067,789"
01/23/2020,"$27.39","$28.99","$26.04","$28.80","25,611,119"
01/22/2020,"$27.51","$27.91","$27.30","$27.32","9,852,593"
01/21/2020,"$27.97","$27.99","$27.05","$27.20","16,409,420"
01/17/2020,"$28.30","$28.72","$28.06","$28.40","7,379,424"
01/16/2020,"$27.79","$28.26","$27.76","$28.23","6,442,847"
01/15/2020,"$27.45","$28.06","$27.32","$27.58","5,689,926"
01/14/2020,"$27.91","$28.40","$27.35","$27.53","8,890,948"
01/13/2020,"$27.32","$27.53","$27.16","$27.39","5,880,251"
01/10/2020,"$27.96","$27.99","$27.25","$27.32","8,108,419"
01/09/2020,"$28.09","$28.23","$27.71","$27.95","6,901,065"
01/08/2020,"$27.10","$28.09","$27.07","$27.84","10,497,300"
01/07/2020,"$27.56","$27.68","$27.06","$27.22","6,197,079"
01/06/2020,"$27.19","$27.49","$27.08","$27.32","6,108,646"
01/03/2020,"$28.27","$28.29","$27.34","$27.65","14,019,970"
01/02/2020,"$28.98","$29.30","$28.65","$29.09","6,275,633"
12/31/2019,"$28.20","$28.79","$28.19","$28.68","4,397,331"
12/30/2019,"$28.50","$28.53","$28.07","$28.30","4,940,611"
12/27/2019,"$29.76","$29.81","$28.36","$28.44","8,419,552"
12/26/2019,"$29.32","$29.71","$29.26","$29.67","4,747,397"
12/24/2019,"$29.32","$29.43","$29.10","$29.18","2,373,608"
12/23/2019,"$29.25","$29.72","$29.20","$29.30","9,291,453"
12/20/2019,"$28.67","$29.05","$28.49","$29.04","12,283,160"
12/19/2019,"$28.00","$28.57","$27.93","$28.55","6,295,123"
12/18/2019,"$28.35","$28.57","$27.93","$28.00","4,634,055"
12/17/2019,"$27.97","$28.48","$27.86","$28.28","5,920,693"
12/16/2019,"$27.62","$28.35","$27.60","$27.92","6,997,861"
12/13/2019,"$27.93","$28.13","$27.37","$27.48","5,965,231"
12/12/2019,"$27.09","$28.02","$26.95","$27.72","9,651,944"
12/11/2019,"$27.08","$27.10","$26.68","$26.86","5,435,419"
12/10/2019,"$27.55","$27.63","$26.90","$27.00","7,541,746"
12/09/2019,"$27.62","$27.83","$27.46","$27.49","4,532,901"
12/06/2019,"$27.50","$27.96","$27.47","$27.73","6,094,102"
12/05/2019,"$27.46","$27.57","$27.05","$27.24","4,997,239"
12/04/2019,"$27.42","$27.76","$27.22","$27.38","4,806,046"
12/03/2019,"$27.73","$27.77","$26.96","$27.29","7,801,699"
12/02/2019,"$28.79","$28.99","$28.01","$28.08","6,851,478"
11/29/2019,"$28.92","$29.27","$28.66","$28.74","2,970,843"
11/27/2019,"$29.07","$29.33","$28.74","$28.95","3,387,635"
11/26/2019,"$28.95","$29.07","$28.57","$29.05","5,941,469"
11/25/2019,"$28.80","$29.18","$28.62","$28.99","5,174,519"
11/22/2019,"$28.20","$28.72","$28.13","$28.68","4,827,418"
11/21/2019,"$28.27","$28.48","$27.84","$27.93","6,071,758"
11/20/2019,"$29.14","$29.24","$28.05","$28.23","9,937,115"
11/19/2019,"$28.93","$29.38","$28.73","$29.29","5,966,379"
11/18/2019,"$28.64","$28.89","$28.28","$28.60","5,368,970"
11/15/2019,"$28.95","$29.20","$28.80","$28.86","4,551,993"
11/14/2019,"$28.75","$28.90","$28.46","$28.77","4,393,223"
11/13/2019,"$29.03","$29.16","$28.57","$28.66","7,179,903"
11/12/2019,"$30.58","$30.67","$29.40","$29.52","8,663,841"
11/11/2019,"$30.54","$30.75","$30.20","$30.59","4,110,020"
11/08/2019,"$30.72","$30.85","$29.96","$30.76","6,352,970"
11/07/2019,"$31.21","$31.44","$30.75","$30.89","6,342,457"
11/06/2019,"$31.17","$31.19","$30.65","$30.96","4,270,307"
11/05/2019,"$31.00","$31.58","$30.91","$31.18","5,500,164"
11/04/2019,"$30.71","$30.99","$30.47","$30.95","5,888,649"
11/01/2019,"$30.30","$30.61","$30.02","$30.56","8,270,943"
10/31/2019,"$30.07","$30.21","$29.46","$30.06","8,779,591"
10/30/2019,"$30.77","$30.94","$29.93","$30.29","10,356,080"
10/29/2019,"$31.42","$31.49","$30.68","$30.92","6,843,245"
10/28/2019,"$31.00","$31.67","$31.00","$31.36","10,298,520"
10/25/2019,"$29.40","$30.89","$29.30","$30.86","13,835,750"
10/24/2019,"$29.27","$29.85","$28.49","$29.41","17,963,270"
10/23/2019,"$28.25","$28.40","$27.88","$28.29","8,437,075"
10/22/2019,"$28.50","$28.69","$27.82","$28.26","8,093,942"
10/21/2019,"$28.51","$28.91","$28.43","$28.62","6,789,511"
10/18/2019,"$27.80","$28.32","$27.71","$28.22","5,693,560"
10/17/2019,"$28.31","$28.44","$27.85","$27.93","6,710,008"
10/16/2019,"$28.33","$28.81","$28.03","$28.05","6,373,517"
10/15/2019,"$27.63","$28.37","$27.28","$28.27","7,047,547"
10/14/2019,"$27.37","$27.66","$27.14","$27.62","3,190,555"
10/11/2019,"$27.63","$28.02","$27.34","$27.36","7,531,394"
10/10/2019,"$26.68","$27.25","$26.50","$27.18","7,095,959"
10/09/2019,"$26.78","$27.33","$26.69","$27.07","8,191,541"
10/08/2019,"$25.56","$26.80","$25.45","$26.26","9,049,444"
10/07/2019,"$25.80","$26.06","$25.52","$25.83","5,876,908"
10/04/2019,"$25.33","$25.85","$25.07","$25.83","6,524,685"
10/03/2019,"$25.47","$25.51","$24.51","$25.27","8,616,277"
10/02/2019,"$26.50","$26.51","$25.02","$25.37","14,246,050"
10/01/2019,"$27.08","$27.66","$26.59","$26.80","6,548,778"
09/30/2019,"$27.35","$27.41","$26.82","$26.97","5,146,989"
09/27/2019,"$27.01","$27.81","$26.91","$27.01","5,209,424"
09/26/2019,"$27.57","$27.60","$26.91","$27.19","4,859,795"
09/25/2019,"$27.13","$27.83","$27.02","$27.44","6,399,938"
09/24/2019,"$27.62","$27.70","$26.77","$27.00","5,585,650"
09/23/2019,"$27.71","$27.88","$27.36","$27.50","5,394,512"
09/20/2019,"$28.20","$28.44","$27.96","$27.99","6,975,202"
09/19/2019,"$28.63","$28.74","$28.16","$28.30","5,125,014"
09/18/2019,"$28.55","$28.66","$28.07","$28.60","6,175,971"
09/17/2019,"$28.02","$29.25","$27.92","$28.64","12,735,030"
09/16/2019,"$28.56","$28.79","$27.70","$27.77","15,507,800"
09/13/2019,"$30.20","$30.34","$29.87","$29.95","7,131,918"
09/12/2019,"$29.67","$30.22","$29.64","$29.94","5,808,790"
09/11/2019,"$29.16","$29.93","$28.73","$29.76","10,842,620"
09/10/2019,"$28.28","$29.18","$28.21","$29.12","6,377,312"
09/09/2019,"$27.79","$28.75","$27.71","$28.44","8,561,601"
09/06/2019,"$28.16","$28.23","$27.73","$27.79","5,791,863"
09/05/2019,"$27.45","$28.11","$27.44","$27.69","6,256,918"
09/04/2019,"$26.66","$27.22","$26.52","$27.00","5,657,456"
09/03/2019,"$26.16","$26.66","$25.95","$26.51","6,732,810"
08/30/2019,"$26.40","$26.83","$26.16","$26.31","5,076,364"
08/29/2019,"$25.79","$26.61","$25.70","$26.32","7,210,512"
08/28/2019,"$24.41","$25.51","$24.23","$25.33","9,080,597"
08/27/2019,"$25.27","$25.34","$24.32","$24.45","7,504,544"
08/26/2019,"$25.90","$25.91","$25.03","$25.19","6,728,216"
08/23/2019,"$26.27","$26.51","$25.35","$25.42","8,910,561"
08/22/2019,"$26.46","$26.98","$26.34","$26.53","5,958,588"
08/21/2019,"$26.06","$26.60","$26.01","$26.42","6,227,560"
08/20/2019,"$26.08","$26.08","$25.56","$25.83","7,660,120"
08/19/2019,"$26.20","$26.69","$26.08","$26.10","9,035,421"
