Date,Open,High,Low,Close,Volume
02/08/2019,"$11.39","$11.49","$11.31","$11.35","1,801,574"
02/07/2019,"$11.40","$11.59","$11.23","$11.47","2,021,053"
02/06/2019,"$11.62","$11.70","$11.40","$11.51","3,479,705"
02/05/2019,"$11.36","$11.81","$11.35","$11.79","4,271,089"
02/04/2019,"$11.24","$11.48","$11.00","$11.37","4,271,461"
02/01/2019,"$11.31","$11.43","$11.18","$11.24","3,477,403"
01/31/2019,"$11.17","$11.53","$11.10","$11.34","6,049,613"
01/30/2019,"$11.25","$11.37","$11.11","$11.20","6,150,980"
01/29/2019,"$12.39","$12.50","$11.11","$11.28","32,870,301"
01/28/2019,"$15.74","$15.79","$14.99","$15.50","2,984,869"
01/25/2019,"$15.96","$16.06","$15.73","$15.90","1,915,249"
01/24/2019,"$15.48","$15.80","$15.44","$15.80","1,282,019"
01/23/2019,"$15.31","$15.57","$15.13","$15.48","1,836,950"
01/22/2019,"$15.81","$15.90","$15.16","$15.27","3,188,729"
01/18/2019,"$16.02","$16.90","$15.88","$15.93","8,547,184"
01/17/2019,"$15.49","$15.83","$15.30","$15.77","1,743,004"
01/16/2019,"$15.57","$15.89","$15.38","$15.68","1,992,649"
01/15/2019,"$15.60","$15.64","$15.19","$15.53","2,228,220"
01/14/2019,"$15.84","$16.14","$15.57","$15.64","3,610,862"
01/11/2019,"$15.86","$16.05","$15.77","$15.85","2,419,772"
01/10/2019,"$15.74","$16.00","$15.52","$15.96","2,904,811"
01/09/2019,"$15.84","$16.39","$15.72","$15.98","3,554,522"
01/08/2019,"$15.50","$15.89","$15.15","$15.81","3,444,019"
01/07/2019,"$15.11","$15.81","$14.94","$15.48","4,718,028"
01/04/2019,"$14.03","$15.29","$13.70","$15.24","11,915,690"
01/03/2019,"$12.98","$13.26","$12.69","$12.97","1,750,353"
01/02/2019,"$12.45","$13.18","$12.42","$13.07","2,124,200"
12/31/2018,"$12.33","$12.67","$12.31","$12.62","2,790,595"
12/28/2018,"$12.21","$12.49","$12.01","$12.28","2,026,317"
12/27/2018,"$12.24","$12.25","$11.63","$12.18","1,834,607"
12/26/2018,"$11.72","$12.40","$11.56","$12.40","2,404,499"
12/24/2018,"$11.97","$12.02","$11.64","$11.67","1,328,526"
12/21/2018,"$12.39","$12.68","$11.77","$11.96","4,422,960"
12/20/2018,"$12.60","$12.94","$12.21","$12.43","2,671,199"
12/19/2018,"$12.76","$12.98","$12.52","$12.58","2,425,928"
12/18/2018,"$12.65","$13.03","$12.61","$12.73","2,594,937"
12/17/2018,"$12.66","$13.10","$12.55","$12.65","2,255,789"
12/14/2018,"$12.69","$13.00","$12.69","$12.76","1,663,721"
12/13/2018,"$13.24","$13.36","$12.67","$12.79","2,436,614"
12/12/2018,"$13.06","$13.53","$12.98","$13.23","1,817,869"
12/11/2018,"$13.35","$13.40","$12.85","$12.95","2,338,170"
12/10/2018,"$13.38","$13.44","$12.83","$13.23","2,793,797"
12/07/2018,"$13.55","$14.04","$13.50","$13.68","3,403,048"
12/06/2018,"$13.50","$13.77","$13.24","$13.56","3,197,174"
12/04/2018,"$13.99","$14.11","$13.44","$13.50","3,733,906"
12/03/2018,"$13.82","$13.98","$13.53","$13.87","4,021,217"
11/30/2018,"$12.99","$13.96","$12.80","$13.66","11,906,790"
11/29/2018,"$15.05","$15.22","$14.54","$14.63","4,209,587"
11/28/2018,"$14.72","$15.07","$14.72","$15.01","2,644,071"
11/27/2018,"$14.39","$14.97","$14.20","$14.72","4,384,758"
11/26/2018,"$13.99","$14.78","$13.99","$14.58","5,903,427"
11/23/2018,"$13.70","$13.76","$13.16","$13.50","2,691,774"
11/21/2018,"$12.47","$14.50","$12.31","$13.71","12,481,010"
11/20/2018,"$12.60","$12.91","$12.14","$12.28","6,034,927"
11/19/2018,"$12.84","$13.16","$12.77","$13.03","3,450,866"
11/16/2018,"$12.99","$12.99","$12.45","$12.79","5,716,754"
11/15/2018,"$12.96","$13.25","$12.77","$13.13","3,030,283"
11/14/2018,"$14.09","$14.11","$12.88","$12.96","3,436,099"
11/13/2018,"$13.90","$14.18","$13.78","$13.88","2,308,246"
11/12/2018,"$14.66","$14.78","$13.86","$13.88","2,400,176"
11/09/2018,"$14.72","$14.80","$14.32","$14.64","1,671,536"
11/08/2018,"$14.90","$15.02","$14.78","$14.86","2,139,432"
11/07/2018,"$15.00","$15.05","$14.65","$14.90","2,044,349"
11/06/2018,"$14.95","$15.05","$14.83","$14.95","1,896,020"
11/05/2018,"$15.55","$15.56","$14.89","$14.99","1,803,627"
11/02/2018,"$15.42","$15.76","$15.19","$15.61","1,665,621"
11/01/2018,"$14.61","$15.35","$14.60","$15.35","2,754,343"
10/31/2018,"$14.81","$14.82","$14.26","$14.60","1,738,939"
10/30/2018,"$14.57","$15.11","$14.40","$14.67","2,094,072"
10/29/2018,"$13.84","$14.96","$13.77","$14.53","3,168,877"
10/26/2018,"$14.43","$14.43","$13.64","$13.71","2,511,131"
10/25/2018,"$15.12","$15.20","$14.28","$14.44","2,274,079"
10/24/2018,"$15.30","$15.60","$15.07","$15.07","2,241,316"
10/23/2018,"$14.99","$15.31","$14.79","$15.27","2,395,068"
10/22/2018,"$14.82","$15.22","$14.69","$15.12","2,305,475"
10/19/2018,"$14.87","$15.00","$14.47","$14.73","3,106,020"
10/18/2018,"$15.30","$15.42","$14.90","$15.06","1,478,597"
10/17/2018,"$15.29","$15.48","$14.78","$15.32","1,997,869"
10/16/2018,"$14.97","$15.30","$14.78","$15.29","2,040,331"
10/15/2018,"$14.81","$15.07","$14.78","$14.88","1,500,281"
10/12/2018,"$14.90","$15.15","$14.70","$14.80","1,927,585"
10/11/2018,"$14.79","$15.10","$14.65","$14.66","2,095,972"
10/10/2018,"$14.81","$15.17","$14.81","$14.83","1,962,639"
10/09/2018,"$14.93","$15.45","$14.70","$14.76","2,405,711"
10/08/2018,"$14.71","$15.19","$14.66","$14.98","2,260,074"
10/05/2018,"$14.83","$14.93","$14.58","$14.68","2,323,675"
10/04/2018,"$14.97","$15.12","$14.72","$14.82","1,521,574"
10/03/2018,"$15.00","$15.17","$14.75","$14.92","2,013,643"
10/02/2018,"$15.17","$15.31","$14.84","$14.87","2,878,201"
10/01/2018,"$15.28","$15.54","$14.98","$15.28","4,059,759"
09/28/2018,"$15.54","$15.85","$15.19","$15.27","2,525,843"
09/27/2018,"$15.68","$15.75","$15.43","$15.55","2,024,388"
09/26/2018,"$16.14","$16.14","$15.54","$15.59","1,901,308"
09/25/2018,"$15.64","$16.09","$15.30","$16.02","2,062,536"
09/24/2018,"$16.42","$16.42","$15.49","$15.52","3,577,664"
09/21/2018,"$16.45","$16.75","$16.44","$16.52","3,040,934"
09/20/2018,"$16.60","$16.81","$16.45","$16.49","1,604,053"
09/19/2018,"$16.50","$16.80","$16.45","$16.60","1,798,243"
09/18/2018,"$16.42","$16.68","$16.35","$16.50","1,786,830"
09/17/2018,"$16.71","$16.86","$16.50","$16.61","2,231,985"
09/14/2018,"$16.97","$17.00","$16.47","$16.79","3,005,541"
09/13/2018,"$16.71","$17.04","$16.61","$17.04","3,689,705"
09/12/2018,"$16.17","$16.76","$16.17","$16.66","3,396,128"
09/11/2018,"$16.00","$16.60","$16.00","$16.16","2,791,083"
09/10/2018,"$16.16","$16.35","$15.87","$16.00","2,727,799"
09/07/2018,"$15.25","$16.38","$14.76","$16.13","6,796,025"
09/06/2018,"$16.15","$16.25","$15.08","$16.14","6,777,164"
09/05/2018,"$13.97","$16.53","$13.96","$16.26","17,471,631"
09/04/2018,"$13.17","$14.10","$13.08","$14.05","5,936,032"
08/31/2018,"$13.61","$13.63","$13.18","$13.27","3,724,283"
08/30/2018,"$13.99","$13.99","$13.52","$13.58","3,933,447"
08/29/2018,"$14.14","$14.30","$13.75","$14.12","4,099,581"
